# tiempo (s), tension (V)
0.000000000000000000e+00,-1.004936812327738016e+00
3.333333333333333287e-02,-1.001810125885927105e+00
6.666666666666666574e-02,1.000421409451973664e+00
1.000000000000000056e-01,-1.004772249883143509e+00
1.333333333333333315e-01,-1.001645563441941222e+00
1.666666666666666574e-01,1.000750534866450714e+00
2.000000000000000111e-01,-1.004443124994051306e+00
2.333333333333333370e-01,-1.001810125885927105e+00
2.666666666666666630e-01,1.000585972159174553e+00
2.999999999999999889e-01,-1.004443124994051306e+00
3.333333333333333148e-01,-1.001810125885927105e+00
3.666666666666666408e-01,1.000585972159174553e+00
4.000000000000000222e-01,-1.004772249883143509e+00
4.333333333333333481e-01,-1.001645563441941222e+00
4.666666666666666741e-01,1.000421409451973664e+00
5.000000000000000000e-01,-1.004607687438581420e+00
5.333333333333333259e-01,-1.001810125885927105e+00
5.666666666666666519e-01,1.000421409451973664e+00
5.999999999999999778e-01,-1.005101374772364276e+00
6.333333333333333037e-01,-1.001974688329944962e+00
6.666666666666666297e-01,1.001079660281228634e+00
6.999999999999999556e-01,-1.004607687438581420e+00
7.333333333333332815e-01,-1.001810125885927105e+00
7.666666666666666075e-01,1.000421409451973664e+00
8.000000000000000444e-01,-1.004607687438581420e+00
8.333333333333333703e-01,-1.001974688329944962e+00
8.666666666666666963e-01,1.000585972159174553e+00
9.000000000000000222e-01,-1.004607687438581420e+00
9.333333333333333481e-01,-1.001481000997987314e+00
9.666666666666666741e-01,1.000585972159174553e+00
# Medimos aliasing. Entrada = cuadrada 2Vpp 50Hz. Variando frecuencia de sampleo de a 10 Hz entre 10 Hz y 500 Hz.
