# tiempo (s), tension (V)
0.000000000000000000e+00,1.000750534866450714e+00
8.333333333333333218e-03,-1.004607687438581420e+00
1.666666666666666644e-02,-1.004607687438581420e+00
2.500000000000000139e-02,-1.004772249883143509e+00
3.333333333333333287e-02,1.000915097573802148e+00
4.166666666666666435e-02,1.000750534866450714e+00
5.000000000000000278e-02,1.000585972159174553e+00
5.833333333333333426e-02,-1.004772249883143509e+00
6.666666666666666574e-02,-1.004607687438581420e+00
7.499999999999999722e-02,-1.004278562549553389e+00
8.333333333333332871e-02,1.000750534866450714e+00
9.166666666666666019e-02,1.000750534866450714e+00
1.000000000000000056e-01,1.000750534866450714e+00
1.083333333333333370e-01,-1.004443124994051306e+00
1.166666666666666685e-01,-1.004772249883143509e+00
1.250000000000000000e-01,-1.004278562549553389e+00
1.333333333333333315e-01,1.000915097573802148e+00
1.416666666666666630e-01,1.000915097573802148e+00
1.499999999999999944e-01,1.000915097573802148e+00
1.583333333333333259e-01,-1.004607687438581420e+00
1.666666666666666574e-01,-1.004278562549553389e+00
1.749999999999999889e-01,-1.004772249883143509e+00
1.833333333333333204e-01,1.000915097573802148e+00
1.916666666666666519e-01,1.000915097573802148e+00
2.000000000000000111e-01,1.000421409451973664e+00
2.083333333333333426e-01,-1.004772249883143509e+00
2.166666666666666741e-01,-1.004607687438581420e+00
2.250000000000000056e-01,-1.004607687438581420e+00
2.333333333333333370e-01,1.000915097573802148e+00
2.416666666666666685e-01,1.000915097573802148e+00
2.500000000000000000e-01,1.001079660281228634e+00
2.583333333333333037e-01,-1.004443124994051306e+00
2.666666666666666630e-01,-1.004443124994051306e+00
2.750000000000000222e-01,-1.004443124994051306e+00
2.833333333333333259e-01,1.000915097573802148e+00
2.916666666666666852e-01,1.000915097573802148e+00
2.999999999999999889e-01,1.000585972159174553e+00
3.083333333333333481e-01,-1.004607687438581420e+00
3.166666666666666519e-01,-1.004443124994051306e+00
3.250000000000000111e-01,-1.004443124994051306e+00
3.333333333333333148e-01,1.000915097573802148e+00
3.416666666666666741e-01,1.000750534866450714e+00
3.499999999999999778e-01,1.000585972159174553e+00
3.583333333333333370e-01,-1.004772249883143509e+00
3.666666666666666408e-01,-1.004443124994051306e+00
3.750000000000000000e-01,-1.004443124994051306e+00
3.833333333333333037e-01,1.000915097573802148e+00
3.916666666666666630e-01,1.000585972159174553e+00
4.000000000000000222e-01,1.000750534866450714e+00
4.083333333333333259e-01,-1.004607687438581420e+00
4.166666666666666852e-01,-1.004607687438581420e+00
4.249999999999999889e-01,-1.004607687438581420e+00
4.333333333333333481e-01,1.001079660281228634e+00
4.416666666666666519e-01,1.000915097573802148e+00
4.500000000000000111e-01,1.000585972159174553e+00
4.583333333333333148e-01,-1.004607687438581420e+00
4.666666666666666741e-01,-1.004772249883143509e+00
4.749999999999999778e-01,-1.004772249883143509e+00
4.833333333333333370e-01,1.001079660281228634e+00
4.916666666666666408e-01,1.000915097573802148e+00
5.000000000000000000e-01,1.000421409451973664e+00
5.083333333333333037e-01,-1.004443124994051306e+00
5.166666666666666075e-01,-1.004443124994051306e+00
5.250000000000000222e-01,-1.004443124994051306e+00
5.333333333333333259e-01,1.000915097573802148e+00
5.416666666666666297e-01,1.001079660281228634e+00
5.500000000000000444e-01,1.000585972159174553e+00
5.583333333333333481e-01,-1.004607687438581420e+00
5.666666666666666519e-01,-1.004443124994051306e+00
5.749999999999999556e-01,-1.004772249883143509e+00
5.833333333333333703e-01,1.000585972159174553e+00
5.916666666666666741e-01,1.000750534866450714e+00
5.999999999999999778e-01,1.000585972159174553e+00
