# tiempo (s), tension (V)
0.000000000000000000e+00,1.000915097573802148e+00
5.263157894736841987e-03,-1.004443124994051306e+00
1.052631578947368397e-02,1.000915097573802148e+00
1.578947368421052683e-02,-1.004443124994051306e+00
2.105263157894736795e-02,1.000585972159174553e+00
2.631578947368420907e-02,-1.004443124994051306e+00
3.157894736842105365e-02,1.000256846744848049e+00
3.684210526315789130e-02,-1.004772249883143509e+00
4.210526315789473589e-02,1.000585972159174553e+00
4.736842105263158048e-02,-1.004607687438581420e+00
5.263157894736841813e-02,1.000585972159174553e+00
5.789473684210526272e-02,-1.004443124994051306e+00
6.315789473684210731e-02,1.000915097573802148e+00
6.842105263157895190e-02,-1.004607687438581420e+00
7.368421052631578261e-02,1.000750534866450714e+00
7.894736842105262720e-02,-1.004278562549553389e+00
8.421052631578947179e-02,-1.002468375662190159e+00
8.947368421052631637e-02,1.000256846744848049e+00
9.473684210526316096e-02,-1.004443124994051306e+00
9.999999999999999167e-02,1.000585972159174553e+00
1.052631578947368363e-01,-1.004607687438581420e+00
1.105263157894736809e-01,1.001079660281228634e+00
1.157894736842105254e-01,-1.004443124994051306e+00
1.210526315789473700e-01,1.000585972159174553e+00
1.263157894736842146e-01,-1.004607687438581420e+00
1.315789473684210453e-01,1.000750534866450714e+00
1.368421052631579038e-01,-1.004607687438581420e+00
1.421052631578947345e-01,1.001079660281228634e+00
1.473684210526315652e-01,-1.004607687438581420e+00
1.526315789473684237e-01,1.000915097573802148e+00
1.578947368421052544e-01,-1.004443124994051306e+00
1.631578947368421129e-01,1.000750534866450714e+00
1.684210526315789436e-01,-1.004607687438581420e+00
1.736842105263157743e-01,1.000915097573802148e+00
1.789473684210526327e-01,-1.004443124994051306e+00
1.842105263157894635e-01,-1.002797500550513421e+00
1.894736842105263219e-01,9.999277213308220835e-01
1.947368421052631526e-01,-1.004278562549553389e+00
1.999999999999999833e-01,1.000585972159174553e+00
2.052631578947368418e-01,-1.004443124994051306e+00
2.105263157894736725e-01,1.000421409451973664e+00
2.157894736842105310e-01,-1.004443124994051306e+00
2.210526315789473617e-01,1.000585972159174553e+00
2.263157894736841924e-01,-1.004443124994051306e+00
2.315789473684210509e-01,1.000915097573802148e+00
2.368421052631578816e-01,-1.004607687438581420e+00
2.421052631578947401e-01,1.000915097573802148e+00
2.473684210526315708e-01,-1.004607687438581420e+00
2.526315789473684292e-01,1.000585972159174553e+00
2.578947368421052322e-01,-1.005101374772364276e+00
2.631578947368420907e-01,1.000585972159174553e+00
2.684210526315789491e-01,-1.004443124994051306e+00
2.736842105263158076e-01,1.000750534866450714e+00
2.789473684210526105e-01,-1.004936812327738016e+00
2.842105263157894690e-01,-1.002962062994723125e+00
2.894736842105263275e-01,1.000092284037797485e+00
2.947368421052631304e-01,-1.004114000105087445e+00
2.999999999999999889e-01,1.000256846744848049e+00
3.052631578947368474e-01,-1.004443124994051306e+00
3.105263157894736503e-01,1.000915097573802148e+00
3.157894736842105088e-01,-1.004443124994051306e+00
3.210526315789473673e-01,1.000256846744848049e+00
3.263157894736842257e-01,-1.004607687438581420e+00
3.315789473684210287e-01,1.001079660281228634e+00
3.368421052631578871e-01,-1.004443124994051306e+00
3.421052631578947456e-01,1.000585972159174553e+00
3.473684210526315486e-01,-1.004607687438581420e+00
3.526315789473684070e-01,1.000750534866450714e+00
3.578947368421052655e-01,-1.004772249883143509e+00
3.631578947368421240e-01,1.000585972159174553e+00
3.684210526315789269e-01,-1.004443124994051306e+00
3.736842105263157854e-01,1.001079660281228634e+00
3.789473684210526438e-01,-1.004607687438581420e+00
3.842105263157894468e-01,-1.002962062994723125e+00
3.894736842105263053e-01,1.000092284037797485e+00
3.947368421052631637e-01,-1.004114000105087445e+00
3.999999999999999667e-01,1.000421409451973664e+00
4.052631578947368252e-01,-1.004278562549553389e+00
4.105263157894736836e-01,1.000750534866450714e+00
4.157894736842105421e-01,-1.004607687438581420e+00
4.210526315789473450e-01,1.001079660281228634e+00
4.263157894736842035e-01,-1.004607687438581420e+00
4.315789473684210620e-01,1.001079660281228634e+00
4.368421052631578649e-01,-1.004607687438581420e+00
4.421052631578947234e-01,1.000915097573802148e+00
4.473684210526315819e-01,-1.004443124994051306e+00
4.526315789473683848e-01,1.000915097573802148e+00
4.578947368421052433e-01,-1.004772249883143509e+00
4.631578947368421018e-01,1.000915097573802148e+00
4.684210526315789602e-01,-1.004607687438581420e+00
4.736842105263157632e-01,1.000915097573802148e+00
4.789473684210526216e-01,-1.004443124994051306e+00
4.842105263157894801e-01,-1.002962062994723125e+00
4.894736842105262831e-01,1.000256846744848049e+00
4.947368421052631415e-01,-1.003949437660653476e+00
5.000000000000000000e-01,1.000750534866450714e+00
5.052631578947368585e-01,-1.004443124994051306e+00
5.105263157894737169e-01,1.000915097573802148e+00
5.157894736842104644e-01,-1.004607687438581420e+00
5.210526315789473228e-01,1.000750534866450714e+00
